Organization Name,Description,Number of Investments
Alumni Ventures Group,Alumni Ventures Group provides diversified venture portfolios to individual investors who previously haven't had access to VC.,835
Tech Coast Angels,Invests in high-growth start-up's headquartered in Southern California,567
Ontario Centres of Excellence,The Ontario Centres of Excellence invests in projects and people to accelerate industry R&D to impact the Ontario economy through the,433
StartEngine,StartEngine is an equity crowdfunding platform that allows everyday people to invest and own shares in startups and early-stage companies.,349
SFC Capital,Early-stage investor combining its own angel syndicate & seed funds to provide investors with diversified exposure to SEIS/EIS businesses.,331
Keiretsu Forum,"Keiretsu Forum is a California-based angel group that offers early, seed, and later stage venture, and debt financing investments.",291
Sand Hill Angels,"Sand Hill Angels, a venture capital firm, invests in internet, information technology, clean tech, consumer, and life sciences businesses.",202
Alliance of Angels,"We are a group of 140+ active angel investors. Each year, we invest $10M+ into 20+ startups and provide mentorship to help them succeed.",185
VA Angels,"VA Angels, also known as VA Angels, is an Angel Investor Network",184
Houston Angel Network,Houston Angel Network provides capital to early-stage companies in Texas and the rest of the US.,179
GoBeyond,GoBeyond enables individuals to access angel investing as an asset class.,175
Keiretsu Forum Northwest,"Keiretsu Forum Northwest is a Washington-based angel investor focused on early-stage technology, real estate, and medical device companies.",172
New York Angels,"New York Angels is a professional angel organization that finds, funds, and mentors companies from pitch through successful exit.",167
Mumbai Angels,"Mumbai Angels, an Indian angel investment network, connects startups with entrepreneurs and professionals who are willing to fund them.",163
Indian Angel Network,Indian Angel Network is one of the leading Angel Investors Network in India. We are the business angel or informal investor.,145
Zillionize,Zillionize is a low friction startup investor with a portfolio of over 100 fast growing startups.,145
LetsVenture,"Let’sVenture enables startups looking to raise money to create investment ready profiles online, and connect to accredited Investors.",137
Anges Quebec,Anges Québec is a network of 230 angel investors who invest capital and time in innovative Québec-based companies aiming to scale globally.,133
VentureSouth,VentureSouth is an early stage venture firm that operates angel groups and funds.,122
Boston Harbor Angels,"Boston Harbor Angels is a group of proven business leaders interested in investing a portion of their assets in high growth, early stage",120
Band of Angels,Band of Angels is an investment firm that offers financial and advisory services to start-up companies.,117
Hyde Park Angels,Hyde Park Angels provides value to entrepreneurs and investors by driving startup growth and investment success.,117
Elevate Ventures,"Elevate Ventures nurtures and develops emerging and existing high-potential businesses into high-performing, Indiana-based companies.",115
Maine Angels,Maine Angels improves regional economic development by providing a cooperative mechanism for qualified investors.,115
Dingman Center for Entrepreneurship,The Dingman Center Angels is a Maryland based angel investment group that provides funding to early-stage companies.,113
ACF Investors,ACF Investors is a UK based venture capital fund that co-invests alongside syndicates of sector-smart angel investors.,107
LaunchPad Venture Group,Launchpad Venture Group is an angel investment group that provides funding to early-stage companies.,105
Cambridge Angels group,"The Cambridge Angels are a group of high-net worth investors who have proven experience as successful entrepreneurs in internet, software,",104
Wisconsin Investment Partners,"Wisconsin Investment Partners is an Angel Investment Group in Madison, Wisconsin founded in 2000 with 20 members.",99
IrishAngels,"IrishAngels is an angel investing network affiliated with the University of Notre Dame that invests in B2B, consumer, and medical companies.",98
Golden Seeds,Golden Seeds is an early-stage investment firm with a focus on women leaders.,97
Boston Seed Capital,Boston Seed Capital provides seed stage funding for internet-enabled businesses.,96
AngelList,"AngelList is a U.S. website for startups, angel investors, and job-seekers looking to work at startups.",95
Angels Den,Angels Den is an angel-led crowdfunding platform.,91
Bantam Group,They are passionate about seeing their portfolio companies become successful.,90
Musha Ventures,Musha Ventures is an Africa-focused micro VC and angel fund.,89
Enterprise Angels,Enterprise Angels is a not for profit organization bringing together businesses needing capital and Angel Investors.,89
Robin Hood Ventures,"Robin Hood Ventures is a group of angel investors, focused on early-stage, high-growth companies in the Greater Philadelphia region.",87
iAngels,iAngels is a Venture Capital and Angel Investment firm that provides investor audience the opportunity to invest in early-stage start-ups.,86
Artha India Ventures,Artha India Ventures is a venture capital firm baesd in Mumbai which funds seed and early stage companies.,86
Golden Triangle Angel Network,Golden Triangle Angel Network is a Canadian angel investment firm that invests in early stage businesses.,85
Icehouse Ventures,Icehouse Ventures is a venture capital firm that backs brave kiwi founders with unique insights building global companies.,84
Pathfinder,"Pathfinder, previously known as FF Angel, is the early stage investment vehicle of venture capital firm Founders Fund.",84
Techammer,Angel investments of Jeff Hammerbacher and Halle Tecco,82
10x Group,10x Group is a group of serial entrepreneurs and founders investing in founders of digital start-ups in Europe and Silicon Valley.,80
24 Haymarket,24 Haymarket is an investment network of highly experienced investors and senior operators.,80
Florida Funders,Florida Funders is a hybrid of a venture capital fund and angel investor syndication platform.,76
Life Science Angels,Life Science Angels offers angel capital to early-stage biotech and medical device companies as a California-based company.,76
Eagles Fund,Eagles Fund is a diversified angel fund and family fund.,76
Seraphim Capital,Seraphim Capital is dedicated to financing the growth of companies operating in the space ecosystem.,75
Moscow Seed Fund,Moscow Seed Fund is an organization for the development of venture and seed investment in Moscow.,75
Cherrystone Angel Group,"Providence based angel group interested in biopharma, medical device and tech startups in New England.",74
Blu Venture Investors,"Blu Venture Investors is a venture capital firm that supports early stage companies, primarily focused on cybersecurity.",73
North Coast Ventures,North Coast Ventures includes six contributed capital funds comprised of 250+ leading investors and entrepreneurs,73
37 Angels,37 Angels activates the untapped capital and experience women can bring investing in female and male led startups,72
The Family,"The Family nurtures Entrepreneurs through Education, Unfair Advantages & Capital.",72
Rockies Venture Club,Rockies Venture Club is a non-profit organization that encourages economic development by funding entrepreneurial companies.,70
Sherpalo Ventures,Sherpalo is a mentor capital firm that supports the development and commercialization of early-stage disruptive new technologies.,69
GE32 Capital,"Early stage investment group with portfolio in US, Brazil, Europe and Asia.",67
Italian Angels for Growth,IAG is an angel investor network that offers access to its affiliates to early-stage venture opportunities.,66
HealthTech Capital,HealthTech Capital is a group of private investors dedicated to funding and mentoring new HealthTech start ups,65
Saarbruecker 21,"Saarbruecker21 invest in young startups, either individually or collectively as a group.",65
Club degli Investitori,The most active business angel network in Italy. More than 180 investors on the lookout for talented entrepreneurs,64
Kelvin Capital,We invest venture capital in to globally ambitious companies which have the potential to deliver a significant return to our investors,64
Angel Ventures,Angel Ventures is an early-stage venture capital investment firm.,63
Designer Fund,"Designer Fund is an early stage investor in tech startups that are design leaders including Stripe, Gusto, and Omada Health.",61
Oregon Venture Fund,Oregon Venture Fund is a venture capital fund that provides funding and support to build the next generation of growth companies.,60
Archangels,Archangel Informal Investments is a business angel syndicate that invests and mentors startups and early stage companies.,60
Angel One Network,"Angel One Network Inc. is a member-based, not-for-profit organization.",60
2B Angels,2B Angels is an Israeli venture capital fund that invests in technology startups and entrepreneurs.,59
Aglaé Ventures,Aglaé Ventures funds and supports passionate entrepreneurs who are committed to building transformational products and services.,57
Grape Arbor VC,Grape Arbor is an angel investor group that invests in technology and startup spaces.,57
